"id","owner","name","count(user_id)","commits last month","pull reqs last month","changesLastMonth","age_in_days","language","commits all","pull reqs all","totalChanges"
109748,"syslabcom","slc.smtp2zope",23,0,0,0,715,"Python",24,0,24
109764,"syslabcom","slc.mailrouter",23,0,0,0,754,"Python",129,0,129
110030,"ooici","ape",16,1,0,1,660,"Python",110,1,111
110607,"plone","plone.api",230,4,2,6,740,"Python",796,62,858
110998,"casper-astro","tutorials_devel",10,1,0,1,841,"Python",116,0,116
111425,"r888888888","danbooru",18,87,0,87,1491,"Ruby",1914,31,1945
111875,"SonarCommunity","sonar-python",26,0,0,0,617,"Java",177,0,177
112319,"JFrogDev","build-info",12,12,0,12,1110,"Java",402,28,430
112466,"JFrogDev","bamboo-artifactory-plugin",12,0,0,0,848,"Java",170,0,170
112751,"rails","sprockets-rails",32,9,5,14,1019,"Ruby",112,59,171
113198,"devst","devst_awaji_monkey",26,0,0,0,727,"Java",1,0,1
113230,"mattwynne","raffle",10,0,0,0,614,"Ruby",150,5,155
114424,"fcrepo","fcrepo",14,0,0,0,1179,"Java",220,17,237
114529,"oerpub","oerpub.rhaptoslabs.swordpushweb-buildout",16,0,0,0,884,"Python",132,2,134
114675,"ScrappyAcademy","store_engine",17,0,0,0,610,"Ruby",40,6,46
114886,"opinsys","iivari",13,0,0,0,1386,"Ruby",112,0,112
114990,"collective","collective.generic.skel",255,9,0,9,1156,"Python",132,3,135
115228,"Qi4j","qi4j-sdk",16,112,2,114,1195,"Java",703,21,724
115565,"plone","plone.app.registry",149,0,0,0,897,"Python",118,6,124
115587,"railsware","caphub",22,3,0,3,853,"Ruby",11,5,16
115646,"erasme","museotouch",12,5,0,5,701,"Python",27,1,28
116058,"thoughtbot","flutie",41,0,0,0,1688,"Ruby",232,21,253
116115,"plone","plone.app.multilingual",235,22,1,23,980,"Python",453,45,498
116216,"FreeRidePGH","BikeBinder",11,7,0,7,743,"Ruby",329,0,329
117304,"sunlightlabs","django-honeypot",13,4,1,5,1779,"Python",12,3,15
117305,"jenkinsci","was-builder-plugin",307,0,0,0,1179,"Java",35,0,35
117362,"Pylons","waitress",14,0,0,0,810,"Python",79,31,110
117683,"jenkinsci","skype-im-plugin",307,0,0,0,1179,"Java",3,2,5
117823,"collective","collective.cart.shipping",322,0,0,0,618,"Python",74,0,74
118093,"opscode","chef-fundamentals",52,0,0,0,820,"Ruby",24,7,31
118213,"wordnik","wordnik-oss",25,0,0,0,1239,"Java",104,5,109
118297,"E2OpenPlugins","e2openplugin-Foreca",22,0,0,0,860,"Python",70,9,79
118301,"railsgirls","railsgirls.github.com",242,35,23,58,687,"Ruby",274,137,411
118422,"opscode-cookbooks","unicorn",26,0,0,0,722,"Ruby",10,7,17
118430,"opscode-cookbooks","passenger_apache2",26,4,0,4,722,"Ruby",58,25,83
118597,"cloudcastle","pg_search_scope",24,0,0,0,969,"Ruby",7,0,7
118604,"socialcast","resque-ensure-connected",30,0,0,0,1186,"Ruby",15,0,15
118823,"Shopify","wolverine",102,1,0,1,735,"Ruby",22,5,27
118871,"site5","pg_global_search",14,0,0,0,664,"Ruby",18,4,22
118997,"collective","collective.elections",319,0,0,0,841,"Python",143,1,144
119061,"kiskolabs","humanizer",14,2,1,3,1349,"Ruby",29,22,51
119078,"collectiveidea","tinder",12,12,2,14,2217,"Ruby",144,33,177
119313,"caktus","rapidsms-twilio",12,0,0,0,1319,"Python",65,5,70
119533,"ipython","nbconvert",19,0,0,0,724,"Python",327,117,444
119656,"myGengo","mygengo-python",10,0,0,0,1012,"Python",62,11,73
120232,"droolsjbpm","droolsjbpm-integration",37,131,3,134,1116,"Java",861,78,939
121195,"biom-format","biom-format",13,1,1,2,694,"Python",344,110,454
122473,"vmware-serengeti","serengeti-ws",26,62,0,62,635,"Java",1129,2,1131
122605,"clarkparsia","stardog-spring",11,5,0,5,964,"Java",45,0,45
122606,"zkoss","zk",17,31,2,33,1021,"Java",804,54,858
122716,"Zojax","zojax.containertraverser",16,1,0,1,590,"Python",22,0,22
123016,"den-plugins","time-logging",12,0,0,0,727,"Ruby",304,0,304
123437,"saltstack","salt-contrib",18,14,6,20,836,"Python",85,62,147
123568,"oe-alliance","oe-alliance-plugins",20,44,1,45,617,"Python",543,11,554
123740,"spree","demo",26,0,0,0,1160,"Ruby",8,3,11
123745,"jenkinsci","promoted-builds-plugin",317,10,6,16,1179,"Java",144,39,183
123803,"braintree","curator",24,5,4,9,762,"Ruby",118,20,138
123858,"dannycastonguay","smartcoops",15,0,0,0,613,"Python",71,1,72
124263,"cloudera","seismichadoop",19,0,0,0,777,"Java",3,1,4
124313,"RIPE-NCC","hadoop-pcap",10,0,0,0,886,"Java",42,10,52
124389,"iron-io","heroku_sinatra_example",12,0,0,0,813,"Ruby",28,2,30
124887,"den-plugins","redmine-treeview",15,0,0,0,953,"Ruby",153,0,153
125032,"plone","Products.Archetypes",234,15,4,19,889,"Python",471,38,509
125211,"railsware","indeed",14,0,0,0,1228,"Ruby",1,1,2
125250,"axsh","isono",11,0,0,0,1392,"Ruby",274,7,281
125344,"CIRB","cirb.organizations",12,0,0,0,763,"Python",141,0,141
125357,"DawnScience","dawn-common",12,94,0,94,779,"Java",964,5,969
125545,"Jahia","Social-module",23,16,0,16,786,"Java",145,0,145
125595,"jenkinsci","maven-invoker-plugin",296,0,0,0,601,"Java",60,0,60
125612,"4teamwork","ftw.dashboard.dragndrop",14,0,0,0,825,"Python",193,15,208
125673,"lizardsystem","lizard-map",15,35,5,40,888,"Python",741,14,755
125696,"neo4j","cypher-dsl",23,7,2,9,884,"Java",139,15,154
126388,"fusesource","stompjms",24,8,0,8,1144,"Java",67,7,74
126426,"sendagayarb","mokmok",33,0,0,0,605,"Ruby",29,1,30
126759,"topicusonderwijs","wicket-openid",59,6,0,6,829,"Java",319,0,319
126795,"HiSPARC","publicdb",12,53,1,54,749,"Python",896,4,900
126854,"digital-science","baton",29,0,0,0,702,"Ruby",128,25,153
126912,"Connexions","oer.exports",24,181,20,201,624,"Python",1686,171,1857
127408,"box","box-android-sdk",10,1,0,1,954,"Java",69,9,78
127514,"sonatype","nexus-capabilities-plugin",28,0,0,0,820,"Java",329,24,353
127863,"alphagov","planner",96,0,0,0,890,"Ruby",257,10,267
127990,"exoplatform","plf-bonita",15,0,0,0,701,"Java",54,0,54
128005,"Talend","tesb-rt-se",66,23,1,24,1168,"Java",986,21,1007
128030,"lincolnloop","django-salmonella",12,0,0,0,1044,"Python",21,10,31
128079,"eestec","eestec.portal",10,0,0,0,632,"Python",205,11,216
128101,"trifork","sdm2",20,0,0,0,612,"Java",323,0,323
128114,"Jahia","JahiApp-MyConnections",23,4,0,4,1053,"Java",233,0,233
128299,"codeforamerica","Transit2Me",75,0,0,0,586,"Ruby",225,0,225
128476,"alphagov","imminence",93,10,5,15,946,"Ruby",657,84,741
128593,"ceylon","ceylon-runtime",14,6,0,6,1107,"Java",324,4,328
128620,"ceylon","ceylon-module-resolver",14,9,1,10,832,"Java",405,5,410
128642,"unepwcmc","project-setup",10,0,0,0,598,"Ruby",15,0,15
128749,"mozilla","mozmill-ci",41,4,9,13,804,"Python",257,220,477
128819,"Zojax","zojax.calendar",16,3,0,3,968,"Python",85,0,85
128840,"gocardless","gocardless-python",21,6,1,7,758,"Python",104,15,119
128841,"HiSPARC","correlation",12,0,0,0,660,"Python",54,0,54
128939,"ostrovok-team","django-mediagenerator",33,0,0,0,806,"Python",74,1,75
128945,"patientslikeme","patella",24,0,0,0,682,"Ruby",23,1,24
129095,"opscode-cookbooks","openldap",26,0,3,3,722,"Ruby",31,30,61
129214,"plone","Products.CMFEditions",236,0,0,0,838,"Python",325,11,336
129340,"groonga","grntest",19,4,0,4,734,"Ruby",366,1,367
129447,"jenkinsci","buildresult-trigger-plugin",317,1,1,2,942,"Java",77,8,85
129625,"collective","Products.PloneboardSubscription",320,0,0,0,575,"Python",28,1,29
129879,"collective","collective.azindexpage",322,0,0,0,624,"Python",42,1,43
130082,"jenkinsci","disk-usage-plugin",307,0,0,0,1179,"Java",53,17,70
130248,"collective","iwwb.eventlist",322,0,0,0,779,"Python",103,0,103
130401,"exoplatform","calendar",14,12,2,14,651,"Java",272,52,324
130423,"c4fcm","pugg",10,0,0,0,720,"Python",146,0,146
130459,"rightscale","right_rackspace",87,0,0,0,1717,"Ruby",68,9,77
130554,"SmartJog","python-toolbox2",15,0,0,0,1049,"Python",139,0,139
130650,"numfocus",31-08-00,10,0,0,0,590,"Python",6,0,6
130682,"futuresimple","futuresimple.github.com",15,0,0,0,1054,"Ruby",27,0,27
130876,"collective","collective.recipe.plonesite",322,1,1,2,618,"Python",110,3,113
131027,"collective","collective.polls",322,0,0,0,821,"Python",466,29,495
131138,"c42","rspec-http",18,0,0,0,1066,"Ruby",21,2,23
131270,"ContextLogic","sqlalchemy",14,0,0,0,756,"Python",9,0,9
131283,"nuxeo","nuxeo-jenkins-report",22,5,0,5,580,"Java",72,0,72
131406,"stackmob","stackmob-android-starter",22,0,0,0,805,"Java",70,3,73
131468,"groupme","quimby",24,1,2,3,1148,"Ruby",99,18,117
131689,"intelie","pycollector",10,0,0,0,975,"Python",573,2,575
131819,"jenkinsci","instance-identity-module",47,0,0,0,1084,"Java",15,0,15
131878,"ceph","javaws-kludge",29,0,0,0,692,"Python",2,0,2
131909,"mozilla","moztrap-vendor-lib",12,0,0,0,874,"Python",29,1,30
132014,"12spokes","tandem",11,8,3,11,1462,"Ruby",430,72,502
132159,"threerings","nexus",16,16,0,16,1048,"Java",358,0,358
132240,"ktt-ol","serial-barcode-scanner",10,8,0,8,653,"Python",247,5,252
132254,"tadeo","django-academy",11,0,0,0,689,"Python",117,0,117
132265,"12spokes","tandem-demo",12,0,0,0,717,"Ruby",10,1,11
132300,"BroadleafCommerce","blc-usps",12,0,0,0,577,"Java",92,0,92
132464,"BroadleafCommerce","blc-cybersource",12,0,0,0,577,"Java",8,0,8
132560,"Stackato-Apps","bottle-currency",15,0,0,0,689,"Python",16,0,16
