project_owner,project_name,p_of_chi_test,residual_1_1,residual_1_2,residual_2_1,residual_2_2,odds_ratio,p_of_odds_ratio
intridea,grape,0.000268711259603653,-1.19850980750089,2.5066194852294,1.0771798640549,-2.25286436492907,0.504477113054806,0.000205434100509994
Katello,katello,1.80648308274764e-49,-4.38910898022581,6.93570502149162,6.59568644012338,-10.4225563249957,0.37233354831008,0
sunpy,sunpy,3.23687466640378e-05,-1.39393990512648,1.86613298971206,2.11130946132345,-2.82650939454194,0.53114880974768,1.90102357028321e-05
mozilla,mozbase,8.79507435875781e-05,-0.933058976766777,4.23746451210267,0.231108167133159,-1.0495720860833,0.105110649855735,0.00121020294711083
Shopify,active_merchant,0.0222760163449182,-0.782440891291771,1.57836593418473,0.685846962024593,-1.38351342954038,0.767195946478393,0.0196140559619719
heroku,heroku-buildpack-ruby,0.00290836879878217,-1.91434439741953,1.86224361424807,1.06627601962482,-1.03725625924404,0.610795121258518,0.00223705851527067
errbit,errbit,0.187787408637425,-0.578271472653438,1.10020485256089,0.31402351255388,-0.597453287371575,0.766608865680546,0.161784168101104
spree,spree_reviews,0.206232171153489,-0.760270329637092,1.0107426930131,0.461087559591174,-0.612993646507925,0.540770942437,0.150065954001346
gwu-libraries,launchpad,0.00142282780849657,0.909794711144413,-2.24749939168567,-0.874355371214448,2.15995228467496,3.56959941993816,0.000702067074984436
ros,rosdistro,1.03328003608525e-12,-1.20298580232274,4.85459555203378,1.23942680212529,-5.00165158146615,0.433276561526462,3.41948691584548e-13
openmicroscopy,bioformats,0.0856436178412338,-0.2990166272317,0.967868563862458,0.442779644956702,-1.43320625023203,0.706135129243859,0.0677293320571168
puppetlabs,puppet,1.8505861618088e-36,-2.95552381640031,7.24324835112242,3.76087446528232,-9.21696100646308,0.191234040466696,0
rapid7,metasploit-framework,0.1745427599937,-0.173562513434682,0.765145974451325,0.261586568787755,-1.15319780819958,0.83618384012672,0.154365829029649
ipython,ipython,1.05655806720474e-26,-2.23497024713441,5.11002397509637,3.67601286600919,-8.40481608296774,0.353885229215593,0
travis-ci,travis-core,0.0174137156792435,-1.12508374319563,1.80792493203338,0.61291713799106,-0.98491172923463,0.800268176608261,0.0161507473277324
Pylons,pyramid,0.676272688378611,0.145041270550254,-0.425090789836495,-0.0999991105408424,0.293080036609478,1.14885185479643,0.594462347810455
heroku,heroku,5.67983644902596e-08,-2.78915451628698,4.10651727625307,1.33021721392896,-1.95850030475918,0.478810572758199,7.93369442364522e-08
rails,rails,3.60983330168762e-05,2.16515174618075,-2.76129821485874,-1.36831477557034,1.745062512968,1.18038127261466,3.15365089225139e-05
cucumber,cucumber,0.50271733014299,-0.328870508847939,0.463278483438788,0.27428179410038,-0.386379593752042,0.902405097068799,0.460156780097878
Theano,Theano,2.35338647297077e-26,-2.84164022526528,4.87777150054052,4.5605958191184,-7.82841688197991,0.244530708585132,0
fog,fog,0.000141752188280226,-1.22345134648607,2.06844831322788,1.52901911010428,-2.5850615214672,0.72239163533789,0.000110137356208573
thoughtbot,factory_girl,0.311473461274967,-0.420894081290174,0.946024223089313,0.217201063378044,-0.488192817077717,0.712491063724638,0.251441171627001
newrelic,rpm,0.419554335631933,-0.391784471346865,0.74896910325517,0.230909810956616,-0.441427179210178,0.719050508187492,0.33309803461781
mperham,sidekiq,0.0271675858510626,-0.725084586583927,1.52412884306513,0.659195696839867,-1.38563030212995,0.721582782579465,0.0231186349749816
diaspora,diaspora,7.39192971348801e-52,7.94632590728726,-7.51484210930962,-7.64953966107353,7.23417129281749,2.48248265549976,0
fluent,fluentd,0.999999999999999,-0.0331549470066717,0.0730347044455638,0.0282233651663906,-0.0621712691313212,0.969312828027139,0.913199864446543
NoamB,sorcery,0.734330111226257,-0.244429443124173,0.265227837072859,0.198039401409935,-0.214890487086195,0.891024837135922,0.644782456019722
opscode-cookbooks,mysql,0.442592534718053,-0.502144622301328,0.365168654315503,0.566206432973583,-0.411755562065286,0.73266343143241,0.356044659970828
allegro,ralph,0.863125036150885,0.120202029718367,-0.219879506470819,-0.15052547567836,0.275348655767214,1.20105499860447,0.690691680140556
jruby,jruby,0.00380433464502721,-1.81292314787127,1.97561895702737,0.813343558238317,-0.886334842223449,0.768882506414634,0.00337213270741143
CocoaPods,CocoaPods,0.0505789770418849,-1.18562297622167,1.28436697523139,0.672211661539272,-0.728196463599103,0.804532254286372,0.0449825143540337
twitter,twitter-cldr-rb,0.21216370180176,0.570049065039721,-0.961884485682024,-0.38735722162073,0.653615495129195,1.33313934595729,0.17699369263606
opscode-cookbooks,apache2,0.340622175480106,-0.48597051498059,0.524908149110156,0.629227782134542,-0.67964368270804,0.602939367705606,0.252611829376859
square,okhttp,0.224776726612451,-0.635365300033661,0.746512692546738,0.522143284838813,-0.613484226223198,0.870179939177392,0.205280289975843
sferik,twitter,0.948024758998179,-0.0724757320751784,0.161004882604697,0.0297766749387279,-0.0661489013714964,0.94926379387937,0.835281240200899
geoserver,geoserver,0.00016914274745396,-2.42341518862753,1.32228320314936,2.37635410314402,-1.29660535679896,0.432743817233398,0.000106877165402142
puppetlabs,facter,8.65721909392305e-20,-2.16883041099876,5.89524241883435,2.3216388742855,-6.31060128237502,0.0758093970548294,0
