"`id`","`name`","`login`"
"2411559","h2o","0xdata"
"132014","tandem","12spokes"
"132026","mls-gem","42floors"
"41127","ftw.book","4teamwork"
"41180","ftw.blog","4teamwork"
"41197","ftw.workspace","4teamwork"
"56043","ftw.tabbedview","4teamwork"
"140647","ftw.poodle","4teamwork"
"141358","ftw.table","4teamwork"
"287042","ftw.file","4teamwork"
"294678","ftw.notification.base","4teamwork"
"1433342","ftw.contentpage","4teamwork"
"1437793","simplelayout.base","4teamwork"
"1502958","ftw.participation","4teamwork"
"4983","api-documentation","500px"
"46759","ssGWT-lib","A24Group"
"51600","dmix","abarisain"
"178035","commons-amqp","abiquo"
"235240","abtt","ABTech"
"289481","git-practice","abztrakt"
"347655","liquid","acm-uiuc"
"12571","active_scaffold","activescaffold"
"801441","Activiti","Activiti"
"6366","pmd","adangel"
"24199","ApAM","AdeleResearchGroup"
"122767","extension_libero_manufacturing","adempiere"
"18260","adhearsion","adhearsion"
"252680","aerogear-android","aerogear"
"65187","merchant","agiliq"
"36844","FlashVolunteer","agoln"
"19754","quran_android","ahmedre"
"42335","inasafe","AIFDR"
"36005","airbrake","airbrake"
"40428","akvo-rsr","akvo"
"105762","akvo-flow","akvo"
"50020","qibuild","aldebaran"
"1497484","pitivi","aleb"
"9514","jsonapi","alecgorge"
"52194","turses","alejandrogomez"
"107290","KBDH-VN","alethiophile"
"32500","django-taggit","alex"
"16729","geocoder","alexreisner"
"4819","opencms-core","alkacon"
"4023","ralph","allegro"
"11379","smart-answers","alphagov"
"19844","publisher","alphagov"
"25156","govuk_content_models","alphagov"
"41465","business-support-finder","alphagov"
"42750","panopticon","alphagov"
"42952","whitehall","alphagov"
"44108","slimmer","alphagov"
"52701","plek","alphagov"
"56941","signonotron2","alphagov"
"58827","gds-api-adapters","alphagov"
"58896","govspeak","alphagov"
"59519","frontend","alphagov"
"70769","rummager","alphagov"
"128476","imminence","alphagov"
"154208","licence-finder","alphagov"
